[2026-01-09 19:32:57] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:32:57] CACHE HIT | Data: age: 2469s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:32:57] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:32:57] CACHE HIT | Data: age: 2468s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:32:58] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:32:58] CACHE HIT | Data: age: 2471s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:32:58] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:32:58] CACHE HIT | Data: age: 2470s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:33:16] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:33:16] CACHE HIT | Data: age: 2489s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:33:16] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:33:16] CACHE HIT | Data: age: 2488s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:40:54] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:40:54] CACHE HIT | Data: age: 2947s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:40:54] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:40:54] CACHE HIT | Data: age: 2946s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:40:54] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:40:54] CACHE HIT | Data: age: 2945s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:40:54] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:40:54] CACHE HIT | Data: age: 2947s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:40:54] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:40:54] CACHE HIT | Data: age: 2946s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:41:06] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:41:06] CACHE HIT | Data: age: 2959s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:41:06] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:41:07] CACHE HIT | Data: age: 2959s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:45:35] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:45:35] CACHE HIT | Data: age: 3228s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:45:35] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:45:35] CACHE HIT | Data: age: 3227s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:45:35] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:45:35] CACHE HIT | Data: age: 3226s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:45:35] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:45:35] CACHE HIT | Data: age: 3228s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:45:35] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:45:35] CACHE HIT | Data: age: 3227s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:45:50] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:45:50] CACHE HIT | Data: age: 3243s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:45:50] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:45:50] CACHE HIT | Data: age: 3242s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:50:12] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:50:12] CACHE HIT | Data: age: 3505s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:50:12] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:50:12] CACHE HIT | Data: age: 3504s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:50:12] queryWorpress llamado | Data: formas-bcct?per_page=100
[2026-01-09 19:50:12] CACHE HIT | Data: age: 3503s, file: 8f80b0f17e2b087005b03a4f7d969d22
[2026-01-09 19:50:12] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:50:12] CACHE HIT | Data: age: 3505s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:50:12] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:50:12] CACHE HIT | Data: age: 3504s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:50:25] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:50:25] CACHE HIT | Data: age: 3518s, file: cbf4f0b5d31a7acc41849d7262d0fd3c
[2026-01-09 19:50:25] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:50:25] CACHE HIT | Data: age: 3517s, file: b9dcb9e8d7a9aca5ab01004af9ed9ee4
[2026-01-09 19:52:48] queryWorpress llamado | Data: gruposdeedad?per_page=100
[2026-01-09 19:52:48] CACHE EXPIRED | Data: age: 3661s > TTL: 3600s
[2026-01-09 19:52:49] API CALL OK | Data: HTTP: 200, time: 1417ms, saved: yes
[2026-01-09 19:52:49] queryWorpress llamado | Data: momentoaprendizaje?per_page=100
[2026-01-09 19:52:50] CACHE EXPIRED | Data: age: 3662s > TTL: 3600s
